                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1512,                 4.5447,                 1.0895,                      0,                      0,                      0,                      0,                  2.155,                 4.2616,                 1.1734,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 2.0602,                 4.6075,                 1.0824,                      0,                      0,                      0,                      0,                 2.0467,                 4.1404,                 1.1215,               8.17e-05,               8.17e-05,               8.17e-05
                      3,                 2.0159,                 4.2693,                 1.0387,                0.12371,                 0.5625,                0.26834,                0.09548,                 2.0718,                 3.6296,                 1.0353,             0.00012808,             0.00012808,             0.00012808
                      4,                  1.919,                 3.6611,                0.97218,                0.19031,                0.85938,                0.52813,                0.17011,                 2.2696,                 3.1189,                 1.0769,             0.00017248,             0.00017248,             0.00017248
                      5,                 1.8543,                 2.9539,                0.96198,                0.70627,                0.76562,                0.76507,                 0.2708,                 2.0952,                 2.2487,                 1.0466,              0.0002149,              0.0002149,              0.0002149
                      6,                 1.6823,                 2.0854,                0.95788,                 0.8101,                0.85938,                0.89933,                0.35852,                 1.9419,                 1.6259,                  1.019,             0.00025533,             0.00025533,             0.00025533
                      7,                 1.6716,                 1.6085,                0.94584,                 0.8848,                0.92188,                0.95916,                0.36804,                 1.9736,                  1.186,                 1.0317,             0.00029379,             0.00029379,             0.00029379
                      8,                 1.5779,                 1.4903,                0.94891,                0.91986,                0.95312,                0.97628,                0.41659,                 1.9103,                 1.0996,                 1.0204,             0.00033027,             0.00033027,             0.00033027
                      9,                 1.4993,                 1.4358,                0.92699,                0.96807,                0.94739,                0.98378,                0.43715,                 1.8777,                 1.3538,                 1.0231,             0.00036477,             0.00036477,             0.00036477
                     10,                 1.5388,                 1.3391,                0.93046,                0.98272,                0.88878,                0.97862,                0.44215,                 1.8414,                 1.5489,                 1.0194,             0.00039728,             0.00039728,             0.00039728
                     11,                 1.4997,                 1.3577,                0.93565,                0.97919,                0.98438,                0.98893,                0.47957,                 1.7188,                 1.1335,                 0.9974,             0.00042782,             0.00042782,             0.00042782
                     12,                 1.4422,                 1.2517,                0.94209,                0.98434,                0.98197,                 0.9894,                0.50409,                 1.6642,                 1.0389,                0.98708,             0.00045637,             0.00045637,             0.00045637
                     13,                 1.4002,                 1.2392,                0.95086,                0.98426,                0.97702,                0.98754,                0.55687,                 1.4936,                0.96994,                0.95065,             0.00048295,             0.00048295,             0.00048295
                     14,                 1.4625,                 1.2002,                0.93495,                 0.9843,                0.97962,                0.98707,                0.54835,                 1.4721,                0.94938,                0.94254,             0.00050754,             0.00050754,             0.00050754
                     15,                 1.4289,                 1.1514,                0.93708,                0.96704,                0.98438,                0.98727,                0.53862,                 1.5292,                 1.0265,                0.94969,             0.00053016,             0.00053016,             0.00053016
                     16,                 1.4023,                 1.1299,                0.93815,                0.95067,                0.96875,                0.97774,                0.53801,                 1.5406,                 1.0696,                0.95071,             0.00055079,             0.00055079,             0.00055079
                     17,                 1.4075,                 1.1293,                0.92088,                0.96643,                0.98438,                 0.9855,                0.57111,                  1.463,                 1.0098,                0.93102,             0.00056945,             0.00056945,             0.00056945
                     18,                 1.4521,                 1.0582,                0.93026,                0.96675,                0.98438,                0.98782,                0.56571,                 1.4811,                 0.9593,                 0.9386,             0.00058612,             0.00058612,             0.00058612
                     19,                 1.4848,                 1.0806,                0.90666,                0.96678,                0.98438,                0.98902,                0.50041,                 1.6006,                0.91858,                0.97179,             0.00060081,             0.00060081,             0.00060081
                     20,                 1.4035,                   1.11,                0.93393,                0.95258,                      1,                0.99029,                0.48805,                 1.6372,                0.86995,                0.97644,             0.00061353,             0.00061353,             0.00061353
                     21,                 1.4722,                 1.0634,                0.94317,                0.97794,                0.98438,                0.99143,                0.53271,                 1.5698,                0.80836,                0.95899,             0.00062426,             0.00062426,             0.00062426
                     22,                 1.4565,                 1.0915,                0.94188,                0.96964,                 0.9981,                0.99095,                0.57419,                 1.4954,                0.81772,                0.94074,             0.00063301,             0.00063301,             0.00063301
                     23,                  1.384,                 1.0078,                0.91965,                0.96913,                0.98098,                0.98793,                0.58128,                 1.4902,                0.81155,                0.93934,             0.00063978,             0.00063978,             0.00063978
                     24,                 1.5271,                 1.0232,                 0.9107,                0.96902,                0.98438,                0.98201,                0.56703,                 1.5011,                0.76366,                0.94344,             0.00064457,             0.00064457,             0.00064457
                     25,                 1.4364,                 1.0281,                0.92445,                0.96667,                0.98438,                0.98136,                0.54792,                 1.5098,                0.73925,                0.94829,             0.00064738,             0.00064738,             0.00064738
                     26,                 1.3732,                0.98099,                0.91489,                0.98215,                      1,                0.98962,                0.54542,                 1.5009,                0.71671,                0.94331,             0.00064821,             0.00064821,             0.00064821
                     27,                 1.4098,                0.97607,                0.91898,                0.98275,                      1,                0.99023,                0.57694,                  1.438,                 0.7286,                0.93057,             0.00064706,             0.00064706,             0.00064706
                     28,                 1.4273,                0.98114,                 0.9071,                 0.9826,                      1,                0.99023,                0.57236,                 1.4409,                0.71266,                0.93099,             0.00064393,             0.00064393,             0.00064393
                     29,                  1.393,                0.95745,                0.93253,                 0.9826,                      1,                0.99023,                0.57236,                 1.4409,                0.71266,                0.93099,             0.00063882,             0.00063882,             0.00063882
                     30,                 1.3429,                0.94546,                 0.9148,                0.98337,                      1,                0.98931,                0.54841,                 1.4834,                0.68561,                0.93658,             0.00063173,             0.00063173,             0.00063173
                     31,                 1.3467,                0.96899,                0.92932,                  0.984,                      1,                0.98931,                0.54971,                 1.4897,                0.67809,                0.93983,             0.00062266,             0.00062266,             0.00062266
                     32,                 1.3474,                0.95452,                0.95038,                0.98292,                      1,                0.99023,                0.55862,                 1.4873,                0.69175,                0.93747,             0.00061161,             0.00061161,             0.00061161
                     33,                 1.3314,                0.96856,                 0.8939,                0.98292,                      1,                0.99023,                0.55862,                 1.4873,                0.69175,                0.93747,             0.00059857,             0.00059857,             0.00059857
                     34,                  1.359,                0.90394,                0.90216,                0.98123,                      1,                0.98962,                0.54754,                 1.5298,                0.69734,                0.94788,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.3188,                0.89009,                0.89805,                0.98149,                      1,                0.98885,                 0.5456,                 1.5241,                0.69359,                0.94571,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.3121,                0.91028,                0.91704,                 0.9811,                      1,                  0.989,                0.54636,                 1.4917,                0.68031,                0.93747,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.3357,                0.88911,                0.88198,                 0.9811,                      1,                  0.989,                0.54636,                 1.4917,                0.68031,                0.93747,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.3149,                 0.8816,                0.89973,                 0.9811,                      1,                0.98931,                0.55182,                 1.4821,                0.68066,                0.93663,             0.00044576,             0.00044576,             0.00044576
                     39,                 1.3297,                 0.8615,                0.89664,                0.98196,                      1,                0.99023,                0.55879,                 1.4849,                0.67478,                0.94045,             0.00041275,             0.00041275,             0.00041275
                     40,                  1.321,                0.86924,                0.88693,                0.98205,                      1,                0.99023,                0.55693,                 1.4717,                0.66219,                0.93592,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.2692,                 1.0322,                  0.902,                0.98205,                      1,                0.99023,                0.55693,                 1.4717,                0.66219,                0.93592,             0.00034674,             0.00034674,             0.00034674
                     42,                 1.2673,                0.97495,                0.91678,                0.98047,                      1,                0.99069,                0.56183,                 1.4558,                0.65306,                0.93076,             0.00031373,             0.00031373,             0.00031373
                     43,                 1.2474,                0.95048,                0.90429,                0.98431,                      1,                  0.991,                0.57587,                 1.4569,                0.65408,                0.92617,             0.00028072,             0.00028072,             0.00028072
                     44,                 1.2857,                0.94134,                0.92166,                0.98458,                0.99792,                0.99115,                0.57564,                 1.4626,                0.66127,                0.92406,             0.00024772,             0.00024772,             0.00024772
                     45,                 1.2325,                0.95061,                0.92815,                0.98458,                0.99792,                0.99115,                0.57564,                 1.4626,                0.66127,                0.92406,             0.00021471,             0.00021471,             0.00021471
